1,2,7,-1.166,0.6188,-0.811,-0.613,-0.279,-0.245,-0.332,-2.272,2,1,1,2,0
3,1,1,-0.835,-2.073,2.0599,0.3275,-0.279,-0.245,-0.332,-0.198,2,2,1,1,0
6,3,17,-0.504,-2.175,-0.236,1.3864,-0.279,-0.245,-0.332,0.3202,2,1,1,1,0
5,1,1,0.1584,-0.549,-0.236,-0.495,-0.279,3.6858,-0.332,-1.753,2,1,1,0,0
3,6,4,2.8086,0.8728,0.3372,1.8570,-0.279,-0.245,-0.332,0.8387,2,1,1,0,0
2,1,7,0.8210,1.9904,0.3372,1.2687,-0.279,-0.245,-0.332,0.8387,2,1,1,1,0
1,1,7,-1.166,-0.447,-0.811,-0.495,-0.279,-0.245,-0.332,0.8387,2,1,1,1,0
3,6,1,0.8210,-0.447,0.3372,0.0922,-0.279,-0.245,-0.332,-0.716,2,1,1,1,0
2,6,7,-0.504,0.7204,-0.236,-0.848,-0.279,1.7202,-0.332,-0.198,2,1,1,0,0
1,1,7,-0.835,0.9236,-0.811,-0.143,0.6564,-0.245,-0.332,0.8387,2,1,1,3,0
1,3,7,0.4897,1.0252,-0.811,-0.495,-0.279,-0.245,-0.332,0.3202,2,1,1,2,0
2,4,4,0.1584,0.7712,0.9114,-0.025,0.6564,-0.245,-0.332,0.8387,2,1,1,2,0
3,1,1,1.1523,-0.143,1.4856,0.9158,-0.279,-0.245,-0.332,0.3202,2,1,1,3,0
2,1,4,0.1584,1.3300,-0.811,0.2099,-0.279,-0.245,0.9212,0.3202,2,1,1,0,0
1,3,7,1.1523,0.0092,-0.811,-0.495,-0.279,-0.245,-0.332,0.8387,2,1,1,1,0
5,3,17,0.4897,-1.159,-0.811,-0.025,-0.279,-0.245,-0.332,0.3202,3,1,1,1,0
1,11,7,-1.166,-0.295,-0.811,-0.495,-0.279,-0.245,-0.332,0.3202,2,1,1,2,0
5,6,1,-0.172,0.4156,-0.811,-0.260,-0.279,-0.245,-0.332,0.3202,2,1,1,2,0
3,18,4,1.1523,-0.701,2.6341,0.3275,-0.279,-0.245,-0.332,-0.716,2,1,1,0,0
6,6,17,0.1584,-1.006,-0.236,1.1511,-0.279,-0.245,-0.332,-1.235,2,1,1,1,0
2,6,4,-0.835,-1.209,-0.811,-0.378,-0.279,-0.245,-0.332,0.3202,2,2,1,1,0
1,1,7,0.1584,0.8728,-0.811,0.6805,-0.279,-0.245,-0.332,0.8387,2,1,1,2,0
